X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,XC,y
0.985702512,0.899527018,2.332283373,1.044272684,1.141718336,-1.656647037,-1.409264545,1.043518227,-0.931460594,-1.726753732,0.149756841,0.723953392,0.654221511,-0.128981192,-0.448737678,0.001453158,1.06847233,0.54704251,-1.446777104,0.846647298,1.385377982,0.217852817,0.628801137,0.511402871,0.5627671,-0.356513977,0.867604292,-0.218641897,-0.336590532,0.09678116,C,0
0.539816473,0.243602327,1.63604842,-0.562149762,-0.235559938,-1.316039434,1.529069121,-1.415870822,-1.167265947,-0.103194608,1.264812018,-0.046111839,-0.052788844,0.713823066,0.489074322,1.449449284,-0.24100781,-1.530878822,-0.14025429,-2.218684391,0.129661843,2.020398354,0.734906726,0.929243566,-0.805046479,0.268788253,1.025799077,1.112271184,1.492584502,-0.497019785,E,0
-1.424483372,-0.470533109,0.095099544,0.13198127,1.168901697,-0.827530096,-1.233110839,0.556679302,-1.384065096,-1.197944025,-0.401761537,0.242434301,-1.063000758,-0.000186097,-1.625695147,0.549367471,1.792425593,-0.684976772,0.380994412,-0.007496596,0.640267559,1.470932771,-1.398526072,-2.13963554,-1.238089868,-0.139801839,-2.317248828,0.113482797,0.521594306,1.26920802,E,0
-1.034157103,-1.054496484,0.339467052,-0.829150972,0.012123029,0.048887394,0.573194585,-0.189184444,-0.674289053,0.975834645,-0.04008108,-0.119562045,0.765591834,-0.589195359,0.054909084,0.670680078,0.034361578,-1.151613592,-0.598840629,0.278923483,2.565787301,0.881025299,0.305297667,-0.368107192,-0.664859262,0.225714909,-0.865773274,-0.026331538,-0.209023394,0.074813883,E,0
0.177090803,1.15421569,1.004133396,-0.724014957,-0.50808999,-0.478284135,-0.524431165,1.8415602,-1.147140478,0.435024563,-0.385504104,-1.895292359,0.336078597,-0.706586597,0.058674851,-0.318922062,0.252725118,-0.756372255,-1.619189929,-0.413788095,0.909172794,0.515646822,1.095991383,-0.993103702,-0.775455762,0.938552762,0.662388241,0.483111409,-0.910481334,1.544431301,E,0
-1.018705187,-0.473110912,-0.578417129,-0.604832136,0.40684718,0.50174742,-0.280561618,1.435766834,1.667687311,0.609208599,-0.455292148,-0.156296419,0.09729993,-0.332979164,-0.44821175,-1.471961602,1.340777868,0.334831388,-0.5801287,2.207456012,0.881854347,-0.392153049,-1.658049379,0.556750073,-0.678537156,1.120700084,-0.274917945,0.056804398,-0.568553093,0.024377776,B,0
-1.059706873,-0.928972056,-1.12899006,1.732841579,-1.722720694,-0.287718086,0.400297533,0.498502192,-0.245649445,-0.772275375,-0.667204252,0.736393174,0.472128303,0.225094068,0.085448566,-0.857311901,-1.463976438,1.297115089,-1.048186429,-0.42700572,-0.415397786,-0.098957221,-1.324152217,0.252505923,-1.017951508,-0.207810744,-1.555064985,-0.317304354,1.407085308,-0.376087388,C,1
1.495720637,0.978938024,-1.299728005,1.035840457,-0.190103,0.248199691,1.560941728,-0.805136948,0.398277194,0.858226094,3.259462145,0.670701834,-0.397974713,-0.473535868,2.099831416,0.207039235,-0.327679714,0.361262621,0.075874313,0.73449741,-0.07486431,-0.452980198,0.249708776,0.307220601,-0.442486245,-0.229340668,0.773903242,1.363025257,-1.496995225,-2.035486313,A,0
1.553187143,-1.045500065,-1.26920312,-0.721348719,0.543054791,0.603842641,0.53762324,0.190584837,-1.910976567,0.937466978,-1.497147653,0.040319954,-0.106218985,1.161384431,1.663581783,1.103132265,0.040387265,2.198356235,-0.747360067,-1.435996998,-0.942625626,0.864428983,0.162147844,-0.599963062,-0.290023675,1.174878962,-0.163472218,0.238328485,-1.515831203,-0.989047767,B,0
0.490149928,-0.380280021,0.575017312,-0.564146767,0.67606491,0.931067603,0.691814203,-0.691551903,-0.663520201,1.182030943,-0.607034966,-0.982029967,0.83463148,0.860198959,0.983800995,1.457609335,-0.074651645,1.226724366,0.343318423,0.797251397,0.160419274,1.026703303,0.593041334,-0.650996246,-0.519249593,0.066405687,-0.223378636,1.347929211,0.117923719,1.280901102,A,0
